MessageSize,ReadHeader,Decompress,AllocateAndCreateSchema,WaitForDecompression,Scatter,Total
8842,9926,655,171865,306,14550,197302
8842,3760,634,117691,137,11993,134215
8842,4840,547,99873,131,10656,116047
8842,4729,550,93873,134,9527,108813
8842,4789,549,100504,148,9216,115206
8842,4825,554,91319,130,8152,104980
8842,4965,544,97673,129,9256,112567
8842,4821,540,94935,128,9007,109431
8842,4671,540,98894,156,9170,113431
8842,4673,550,95639,125,9143,110130
506176,6161,552,522930,203,59686,589532
506176,5835,626,482221,245,57477,546404
506176,4483,569,476614,179,56057,537902
506176,5097,546,449794,172,54208,509817
506176,5046,549,442620,238,54294,502747
506176,4976,550,438152,160,55052,498890
506176,5412,560,440148,151,55477,501748
506176,5051,546,441636,173,54974,502380
506176,5148,543,451584,187,54729,512191
506176,5229,553,819629,344,56356,882111
62637,8493,547,388711,323,35018,433092
62637,7619,643,275393,230,29227,313112
62637,7064,562,277051,134,23258,308069
62637,6927,613,272125,146,38402,318213
62637,6987,552,264620,150,24715,297024
62637,6803,572,270356,146,25135,303012
62637,6931,631,267506,147,23621,298836
62637,7413,638,265457,150,24740,298398
62637,6972,571,270483,157,23329,301512
62637,6726,583,261067,144,24787,293307
506176,4755,580,541296,329,60789,607749
506176,5714,607,497194,138,56272,559925
506176,5309,549,478560,149,54739,539306
506176,5023,631,459222,151,54007,519034
506176,5182,541,448619,145,54890,509377
506176,5317,545,462216,244,52995,521317
506176,4614,543,457574,191,53616,516538
506176,5063,617,441331,249,53772,501032
506176,4726,616,467976,178,53657,527153
506176,4912,553,448038,248,54672,508423
6422,4684,604,148243,202,14399,168132
6422,4747,546,85248,125,11837,102503
6422,4397,536,71909,128,10499,87469
6422,4469,599,65595,125,8791,79579
6422,4401,610,72145,121,9629,86906
6422,4372,552,62791,123,9437,77275
6422,4186,545,69045,129,7108,81013
6422,4233,606,70758,130,9084,84811
6422,4306,547,61027,125,9354,75359
6422,4322,539,65498,118,9810,80287
2129,8506,747,107252,352,10695,127552
2129,4171,608,50578,226,6803,62386
2129,3975,610,44586,135,6071,55377
2129,3722,546,41296,125,5788,51477
2129,3809,595,40323,112,5693,50532
2129,4092,537,41845,118,6301,52893
2129,4049,612,42573,117,4851,52202
2129,3705,605,40743,120,5529,50702
2129,3942,606,43163,140,5617,53468
2129,4015,608,43411,128,5746,53908
3449,5948,671,144329,403,11996,163347
3449,4755,563,87666,220,9494,102698
3449,4308,608,66525,128,8265,79834
3449,3662,613,67701,126,6939,79041
3449,4399,609,66236,121,7697,79062
3449,4271,602,66692,150,7693,79408
3449,4483,551,63509,127,7568,76238
3449,4230,611,69397,132,6636,81006
3449,4423,585,70805,139,7475,83427
3449,4158,604,64865,136,7860,77623
2837,4326,607,136839,136,11140,153048
2837,4237,551,71512,119,8117,84536
2837,4403,574,59436,119,7631,72163
2837,4506,538,69525,132,7269,81970
2837,4564,540,63539,135,7108,75886
2837,4451,539,61879,124,7188,74181
2837,4167,570,63091,116,7055,74999
2837,4379,529,62880,109,6288,74185
2837,4344,568,62348,121,7040,74421
2837,4593,529,57178,137,7044,69481
6502,7933,706,212031,175,20264,241109
6502,5747,555,104714,125,11894,123035
6502,5869,562,103869,124,12418,122842
6502,5297,538,102253,144,11043,119275
6502,5335,544,105569,140,13621,125209
6502,5322,532,111231,141,9907,127133
6502,5634,548,100321,124,11070,117697
6502,5276,537,101754,141,13340,121048
6502,5553,542,103448,122,9426,119091
6502,5031,616,96684,132,14702,117165
2550,5208,557,117575,207,12296,135843
2550,4070,545,66988,113,7090,78806
2550,3976,537,57395,142,11564,73614
2550,3812,542,51707,126,5796,61983
2550,3945,543,52646,107,5671,62912
2550,3894,542,50558,126,5635,60755
2550,3878,540,52385,132,8125,65060
2550,3587,542,56077,125,4937,65268
2550,3858,602,49014,107,5545,59126
2550,4037,540,52538,111,5698,62924
3881,5959,575,144502,190,16245,167471
3881,4985,600,89372,124,15095,110176
3881,4963,555,78467,136,9464,93585
3881,4941,543,80756,137,9161,95538
3881,4617,544,77570,131,8947,91809
3881,4976,537,82742,130,11380,99765
3881,5043,547,81869,140,7965,95564
3881,3671,540,78913,125,8812,92061
3881,4741,572,84401,145,11135,100994
3881,4979,552,78118,119,8917,92685
6422,9160,1112,166034,369,16327,193002
6422,4752,611,81017,154,12360,98894
6422,4413,544,66444,125,10302,81828
6422,4694,543,64380,127,9341,79085
6422,4182,542,65861,131,7186,77902
6422,4511,606,72945,135,9822,88019
6422,4354,543,66816,141,7184,79038
6422,4153,535,66195,139,8669,79691
6422,4184,542,64893,129,9667,79415
6422,4289,542,68165,136,26083,99215
2837,7281,826,139578,304,14286,162275
2837,4847,547,74129,117,11432,91072
2837,4268,532,67394,121,7250,79565
2837,4333,548,62641,128,7168,74818
2837,4243,538,64510,142,8516,77949
2837,3409,573,59609,128,6911,70630
2837,4547,534,62418,131,6877,74507
2837,4185,539,61862,135,7028,73749
2837,4354,547,64436,128,9076,78541
2837,4476,641,59832,121,6085,71155
2837,3285,539,66042,128,6983,76977
2837,3859,540,59505,128,6913,70945
2837,4242,572,65985,120,9465,80384
2837,4308,537,59375,128,6061,70409
2837,4149,570,62406,127,6883,74135
2837,4361,547,60336,125,6849,72218
2837,4184,538,63582,136,6963,75403
2837,4352,568,61142,125,9327,75514
2837,4509,550,63331,130,6117,74637
2837,4098,540,59925,132,9199,73894
8842,9561,828,243211,653,17360,271613
8842,5568,589,134108,151,11439,151855
8842,5052,549,100422,135,10000,116158
8842,4905,541,97151,139,9279,112015
8842,4943,546,97248,132,9200,112069
8842,5242,547,98051,123,7997,111960
8842,4753,546,94199,141,8994,108633
8842,4738,554,93162,128,9120,107702
8842,4984,545,100216,136,9023,114904
8842,4585,553,91806,121,8933,105998
8842,4752,560,56173,112,8130,69727
8842,4673,547,44770,127,9339,59456
8842,4705,549,42154,109,9088,56605
8842,4816,538,44464,165,8057,58040
8842,4594,547,40022,119,9302,54584
8842,5087,595,43336,126,9293,58437
8842,4645,535,43464,118,9115,57877
8842,4839,532,42780,111,7818,56080
8842,4794,532,42179,129,9085,56719
8842,4604,533,41495,125,9507,56264
6422,4418,530,147908,150,10338,163344
6422,4517,535,84850,123,9043,99068
6422,4264,528,83252,133,7653,95830
6422,4305,567,66331,135,6412,77750
6422,4652,534,70950,147,7155,83438
6422,4636,537,67787,142,7204,80306
6422,4821,539,71065,129,6321,82875
6422,4372,568,64373,125,7938,77376
6422,4494,531,66958,127,7866,79976
6422,4413,561,67555,128,7511,80168
2550,8691,829,107169,241,10829,127759
2550,4609,541,65235,125,8118,78628
2550,4000,547,59414,120,10729,74810
2550,4235,545,51635,130,5913,62458
2550,3707,535,56230,139,8424,69035
