MessageSize,SchemaGeneration,GatherAndFirstCompression,SecondCompression,WaitForCompressions,MakeHeader,Total
506176,126991,112248,3758,336219,28232,607448
506176,75377,92195,857,336045,30044,534518
506176,58451,89405,913,335603,26107,510479
506176,53475,88362,869,335728,28258,506692
506176,50464,87311,827,336348,27219,502169
506176,52467,87771,894,335861,27008,504001
506176,47791,87502,781,335832,28077,499983
506176,51085,87247,771,335868,27524,502495
506176,47007,87078,825,335879,26135,496924
506176,47832,87584,909,335952,28147,500424
8842,131788,15520,1399,10570,6953,166230
8842,52119,14087,883,10484,5863,83436
8842,52168,10803,890,10066,5467,79394
8842,46218,10546,799,10084,6183,73830
8842,45418,10520,870,10096,7503,74407
8842,46922,11009,884,10051,5772,74638
8842,47249,8219,890,10065,6075,72498
8842,46815,9955,780,10010,5520,73080
8842,51149,10249,862,10076,5604,77940
8842,46497,10039,855,10100,5403,72894
6422,116211,12411,985,8140,1492,139239
6422,44568,29969,889,7922,686,84034
6422,36134,9403,826,7335,520,54218
6422,39387,10282,898,7203,469,58239
6422,38497,11259,894,7320,493,58463
6422,38142,10871,897,7323,518,57751
6422,35577,9951,741,7266,509,54044
6422,35031,9978,890,7280,463,53642
6422,39730,10547,884,7279,486,58926
6422,36992,10315,899,7220,460,55886
62637,173658,36131,840,47130,13069,270828
62637,96301,26536,819,47132,8872,179660
62637,97640,30765,1020,47551,8696,185672
62637,94535,21032,781,47565,8823,172736
62637,91672,29511,905,47556,10731,180375
62637,94909,21573,805,47577,11559,176423
62637,95428,20644,774,47573,9050,173469
62637,93149,29178,868,47641,11029,181865
62637,95667,20566,789,47570,10958,175550
62637,90479,28979,912,47643,13241,181254
2129,92254,11476,1250,5356,1803,112139
2129,32069,10042,868,4853,874,48706
2129,27202,9740,877,4475,447,42741
2129,27653,5663,909,4423,358,39006
2129,30132,9469,901,4372,378,45252
2129,28663,7888,894,4464,403,42312
2129,26645,5414,843,4435,458,37795
2129,27217,7837,869,4407,435,40765
2129,27737,7871,872,4559,411,41450
2129,27777,7824,872,4427,465,41365
2837,120095,70761,1208,5137,1553,198754
2837,43936,9572,860,4741,706,59815
2837,38448,7599,882,4813,578,52320
2837,41363,7836,868,4878,626,55571
2837,35667,7066,863,4772,570,48938
2837,36034,7032,879,4794,480,49219
2837,36516,7089,886,4804,485,49780
2837,39308,7026,849,4840,546,52569
2837,35439,6250,834,4834,491,47848
2837,36507,6964,858,4766,503,49598
3449,118775,12927,1276,6422,2113,141513
3449,42508,10994,851,6234,686,61273
3449,40771,9240,859,5409,523,56802
3449,48826,8172,871,5413,3317,66599
3449,39134,7888,893,5399,3006,56320
3449,38944,7064,876,5371,2765,55020
3449,36850,7724,749,5503,2950,53776
3449,38647,7926,836,5411,2641,55461
3449,42733,8331,854,5395,2760,60073
3449,36889,7756,870,5421,4658,55594
6502,121781,24904,928,7218,1560,156391
6502,59210,16212,902,7041,588,83953
6502,58248,13583,758,6930,597,80116
6502,57174,14523,909,19975,609,93190
6502,58538,12928,735,7153,539,79893
6502,58647,14715,907,7153,533,81955
6502,58193,14496,881,7138,574,81282
6502,61665,14475,888,7056,513,84597
6502,52249,13654,870,7160,639,74572
6502,56583,14989,805,7258,631,80266
2550,112882,12219,1240,5681,3006,135028
2550,38933,8575,862,5168,709,54247
2550,30780,6711,858,4611,499,43459
2550,41996,6312,737,4611,480,54136
2550,32096,7252,906,4592,523,45369
2550,32243,6052,863,4620,439,44217
2550,31432,8001,878,4577,491,45379
2550,31438,8114,887,4587,432,45458
2550,31735,6173,826,4566,492,43792
2550,34242,7852,858,4643,570,48165
3881,113862,13611,788,6545,1062,135868
3881,54653,15712,881,6697,595,78538
3881,45872,12019,885,5778,573,65127
3881,47326,14140,959,5791,581,68797
3881,44418,11013,904,5761,532,62628
3881,45691,11044,909,5836,514,63994
3881,46308,11087,893,5771,619,64678
3881,58904,9562,784,5737,585,75572
3881,45315,11338,885,5761,509,63808
3881,44465,10981,871,5815,508,62640
